14:05:22 INFO: Ensured directory: plots/color_decoder
14:05:22 INFO: Processing subject 10
14:05:33 INFO: brightness/Occipital Region CSP acc=0.548
14:05:37 INFO: brightness/Parietal Region CSP acc=0.543
14:05:41 INFO: brightness/Central Region CSP acc=0.658
14:05:46 INFO: brightness/Frontal Region CSP acc=0.530
14:06:04 INFO: brightness/Occipital Region SPOC acc=0.512
14:06:22 INFO: brightness/Parietal Region SPOC acc=0.503
14:06:39 INFO: brightness/Central Region SPOC acc=0.555
14:06:57 INFO: brightness/Frontal Region SPOC acc=0.484
14:07:01 INFO: difficulty/Occipital Region CSP acc=0.604
14:07:03 INFO: difficulty/Parietal Region CSP acc=0.628
14:07:06 INFO: difficulty/Central Region CSP acc=0.706
14:07:08 INFO: difficulty/Frontal Region CSP acc=0.664
14:07:19 INFO: difficulty/Occipital Region SPOC acc=0.568
14:07:26 INFO: difficulty/Parietal Region SPOC acc=0.607
14:07:35 INFO: difficulty/Central Region SPOC acc=0.630
14:24:37 INFO: difficulty/Frontal Region SPOC acc=0.596
14:24:37 INFO: Processing subject 11
14:51:13 INFO: brightness/Occipital Region CSP acc=0.516
14:51:17 INFO: brightness/Parietal Region CSP acc=0.595
14:51:23 INFO: brightness/Central Region CSP acc=0.530
14:51:28 INFO: brightness/Frontal Region CSP acc=0.629
14:51:54 INFO: brightness/Occipital Region SPOC acc=0.499
14:52:11 INFO: brightness/Parietal Region SPOC acc=0.612
14:52:30 INFO: brightness/Central Region SPOC acc=0.576
14:52:47 INFO: brightness/Frontal Region SPOC acc=0.630
14:52:50 INFO: difficulty/Occipital Region CSP acc=0.573
14:52:53 INFO: difficulty/Parietal Region CSP acc=0.724
14:52:56 INFO: difficulty/Central Region CSP acc=0.630
14:52:59 INFO: difficulty/Frontal Region CSP acc=0.758
14:53:09 INFO: difficulty/Occipital Region SPOC acc=0.589
14:53:19 INFO: difficulty/Parietal Region SPOC acc=0.729
14:53:28 INFO: difficulty/Central Region SPOC acc=0.628
14:53:37 INFO: difficulty/Frontal Region SPOC acc=0.781
14:53:37 INFO: Processing subject 12
14:53:49 INFO: brightness/Occipital Region CSP acc=0.512
14:53:54 INFO: brightness/Parietal Region CSP acc=0.566
14:53:58 INFO: brightness/Central Region CSP acc=0.509
14:54:03 INFO: brightness/Frontal Region CSP acc=0.549
14:54:22 INFO: brightness/Occipital Region SPOC acc=0.507
14:54:38 INFO: brightness/Parietal Region SPOC acc=0.573
14:54:55 INFO: brightness/Central Region SPOC acc=0.479
14:55:19 INFO: brightness/Frontal Region SPOC acc=0.496
14:55:22 INFO: difficulty/Occipital Region CSP acc=0.560
14:55:25 INFO: difficulty/Parietal Region CSP acc=0.734
14:55:28 INFO: difficulty/Central Region CSP acc=0.729
14:55:30 INFO: difficulty/Frontal Region CSP acc=0.708
14:55:39 INFO: difficulty/Occipital Region SPOC acc=0.594
14:55:57 INFO: difficulty/Parietal Region SPOC acc=0.693
14:56:17 INFO: difficulty/Central Region SPOC acc=0.677
14:56:28 INFO: difficulty/Frontal Region SPOC acc=0.703
14:56:28 INFO: Processing subject 16
14:56:39 INFO: brightness/Occipital Region CSP acc=0.549
14:56:44 INFO: brightness/Parietal Region CSP acc=0.542
14:56:50 INFO: brightness/Central Region CSP acc=0.661
14:56:55 INFO: brightness/Frontal Region CSP acc=0.531
14:57:13 INFO: brightness/Occipital Region SPOC acc=0.513
14:57:33 INFO: brightness/Parietal Region SPOC acc=0.512
14:57:52 INFO: brightness/Central Region SPOC acc=0.677
14:58:14 INFO: brightness/Frontal Region SPOC acc=0.529
14:58:16 INFO: difficulty/Occipital Region CSP acc=0.534
14:58:18 INFO: difficulty/Parietal Region CSP acc=0.680
14:58:21 INFO: difficulty/Central Region CSP acc=0.683
14:58:23 INFO: difficulty/Frontal Region CSP acc=0.773
14:58:33 INFO: difficulty/Occipital Region SPOC acc=0.539
14:58:44 INFO: difficulty/Parietal Region SPOC acc=0.659
14:58:52 INFO: difficulty/Central Region SPOC acc=0.625
14:58:59 INFO: difficulty/Frontal Region SPOC acc=0.784
14:58:59 INFO: Processing subject 18
14:59:11 INFO: brightness/Occipital Region CSP acc=0.539
14:59:15 INFO: brightness/Parietal Region CSP acc=0.565
14:59:20 INFO: brightness/Central Region CSP acc=0.728
14:59:24 INFO: brightness/Frontal Region CSP acc=0.581
14:59:41 INFO: brightness/Occipital Region SPOC acc=0.543
14:59:59 INFO: brightness/Parietal Region SPOC acc=0.531
15:00:16 INFO: brightness/Central Region SPOC acc=0.710
15:00:34 INFO: brightness/Frontal Region SPOC acc=0.544
15:00:37 INFO: difficulty/Occipital Region CSP acc=0.568
15:00:40 INFO: difficulty/Parietal Region CSP acc=0.581
15:00:42 INFO: difficulty/Central Region CSP acc=0.896
15:00:45 INFO: difficulty/Frontal Region CSP acc=0.693
15:00:54 INFO: difficulty/Occipital Region SPOC acc=0.615
15:01:04 INFO: difficulty/Parietal Region SPOC acc=0.568
15:01:13 INFO: difficulty/Central Region SPOC acc=0.651
15:01:22 INFO: difficulty/Frontal Region SPOC acc=0.682
15:01:22 INFO: Processing subject 19
15:01:34 INFO: brightness/Occipital Region CSP acc=0.566
15:01:38 INFO: brightness/Parietal Region CSP acc=0.543
15:01:43 INFO: brightness/Central Region CSP acc=0.558
15:01:48 INFO: brightness/Frontal Region CSP acc=0.538
15:02:06 INFO: brightness/Occipital Region SPOC acc=0.560
15:02:31 INFO: brightness/Parietal Region SPOC acc=0.529
15:02:49 INFO: brightness/Central Region SPOC acc=0.545
15:03:08 INFO: brightness/Frontal Region SPOC acc=0.531
15:03:11 INFO: difficulty/Occipital Region CSP acc=0.615
15:03:13 INFO: difficulty/Parietal Region CSP acc=0.549
15:03:16 INFO: difficulty/Central Region CSP acc=0.609
15:03:19 INFO: difficulty/Frontal Region CSP acc=0.620
15:03:29 INFO: difficulty/Occipital Region SPOC acc=0.609
15:03:45 INFO: difficulty/Parietal Region SPOC acc=0.521
15:03:53 INFO: difficulty/Central Region SPOC acc=0.609
15:04:03 INFO: difficulty/Frontal Region SPOC acc=0.526
15:04:03 INFO: Processing subject 2
15:04:15 INFO: brightness/Occipital Region CSP acc=0.615
15:04:20 INFO: brightness/Parietal Region CSP acc=0.591
15:04:25 INFO: brightness/Central Region CSP acc=0.689
15:04:30 INFO: brightness/Frontal Region CSP acc=0.570
15:04:53 INFO: brightness/Occipital Region SPOC acc=0.595
15:05:14 INFO: brightness/Parietal Region SPOC acc=0.637
15:05:31 INFO: brightness/Central Region SPOC acc=0.522
15:05:47 INFO: brightness/Frontal Region SPOC acc=0.592
